Date,Open,High,Low,Close,Volume,VWAP,TWAP
2019-07-29,9595.89456056,9715.49175346,9488.22545878,9556.38956697,518820.27291634,9585.58933718,9586.83409478
2019-07-28,9523.51777402,9634.77817748,9288.14500223,9589.67513306,513678.55819984,9550.3990654,9551.75096044
2019-07-27,9869.96048219,10173.50256141,9435.09740328,9481.52162154,652476.03569846,9732.03582085,9762.86795919
2019-07-26,9900.8681115,9924.5166879,9720.6475328,9886.05064675,495296.57799419,9834.95838023,9835.77028941
2019-07-25,9807.00696155,10187.2717601,9775.75018695,9909.28561574,563376.67109542,10043.17259283,10041.14043468
2019-07-24,9933.29638086,9951.83588058,9610.88053457,9853.39146397,625096.33510623,9764.09070508,9764.84456797
2019-07-23,10350.95606854,10366.30513437,9918.07770522,9971.4469674,593152.61492369,10124.58517383,10128.56334886
2019-07-22,10627.60301426,10693.74244307,10192.82589134,10343.87722188,551530.10548549,10500.07562259,10503.64116807
2019-07-21,10768.72897376,10830.911764,10399.79385505,10627.37958178,562566.2695379,10617.98141008,10615.94986568
2019-07-20,10544.17807511,11046.21973407,10453.29584002,10787.61376938,665886.72930375,10679.79342034,10681.9214922
2019-07-19,10671.11763765,10730.51785698,10210.34884381,10551.64249052,697747.64703109,10498.31244264,10499.28191793
2019-07-18,9759.02228682,10742.27598935,9429.81915731,10643.71552465,889660.28445657,10105.00445848,10092.9400518
2019-07-17,9497.39306501,9994.69904189,9210.62204984,9713.95838607,897680.94454766,9643.51760947,9649.75244512
2019-07-16,10916.39325801,11065.61478009,9525.77830572,9525.77830572,1008185.2857593,10417.98975076,10453.98676767
2019-07-15,10324.10475445,11117.96904235,10038.07334664,10948.75183169,915260.13249841,10501.59220855,10505.3335438
2019-07-14,11439.18035225,11496.80407649,10292.17898645,10306.73534548,798102.8839618,10919.8918322,10947.20762941
2019-07-13,11842.42647557,11878.79304582,10947.35455308,11420.90324408,665433.83474531,11498.43966304,11497.14991205
2019-07-12,11411.27678683,11925.87904856,11196.41794062,11841.19919942,673382.26544151,11610.95614616,11624.09750348
2019-07-11,12153.58798238,12153.58798238,11162.35875639,11412.71495172,973044.79479323,11636.00981126,11636.58047593
2019-07-10,12491.86302042,13029.08970171,11526.65937736,12184.49038312,1042424.67461839,12507.97486585,12540.92396011
2019-07-09,12267.46844202,12714.48663893,12113.04990238,12483.14231084,826350.57974934,12435.67388784,12437.51047561
2019-07-08,11452.58802907,12337.40009759,11346.31863775,12272.13753787,667224.80566968,11779.28229148,11763.9775534
2019-07-07,11282.38862641,11546.30850022,11168.26114132,11438.58164814,583881.60556041,11327.24474166,11327.97096229
2019-07-06,11023.10164874,11666.97180712,11023.10164874,11268.97242912,640643.46846786,11416.37751464,11416.65808832
2019-07-05,11202.44892837,11412.49003069,10898.06666566,10998.34902907,744337.37789241,11179.33764946,11179.06258903
2019-07-04,11951.99773188,11982.6450786,11158.95390425,11219.54916333,837001.55517331,11750.74641866,11747.85519924
2019-07-03,10866.34971284,11946.71688019,10866.34971284,11946.2633462,1009749.58501969,11321.92334203,11324.04505073
2019-07-02,10660.51238499,10940.73123674,9813.06556907,10840.34033099,1074882.01869318,10379.32340415,10379.34382052
2019-07-01,10878.12303473,11288.12330003,10138.54578543,10660.89173596,979609.41362868,10797.63743104,10811.94103905
2019-06-30,11952.55455765,12167.49597546,10840.87510297,10840.87510297,831888.05547309,11628.75378978,11629.43408026
2019-06-29,12364.46827546,12383.99951718,11530.45380317,11996.88608734,847858.73525921,11907.56766956,11912.13238457
2019-06-28,11290.35953242,12420.26470172,10989.8113044,12370.40141364,1011274.0948239,11735.40061357,11771.68299037
2019-06-27,12953.29490138,13280.0723051,10541.06112123,11257.87509304,1453874.04211656,11891.17721461,11919.7341467
2019-06-26,11735.58602168,13788.27310699,11713.11481642,12917.18866483,1399807.61458049,12697.41985049,12645.89251489
2019-06-25,11023.90311862,11747.16550913,11023.90311862,11747.16550913,719088.15345074,11314.05441626,11308.98042576
2019-06-24,10864.85124664,11093.61668937,10613.16496591,11008.19326801,630440.0880019,10871.2920677,10870.55028175
2019-06-23,10660.27206415,11227.13984465,10504.73848887,10850.57344061,667990.98952522,10741.92747777,10751.09753115
2019-06-22,10168.54249866,11125.92085563,10044.85229269,10670.17773194,1032544.59730782,10701.18121132,10695.39880825
2019-06-21,9529.23975343,10109.4882602,9529.23975343,10109.4882602,715143.44546876,9781.11274035,9777.58624933
2019-06-20,9274.20015065,9589.19344779,9250.97355073,9528.19163229,609426.39188591,9380.042146,9376.1475032
2019-06-19,9115.23312483,9330.28572349,9089.94649311,9277.43794351,538060.95818177,9171.73912907,9173.01469735
2019-06-18,9255.62586104,9272.61332241,9025.10262,9118.626251,669975.20992758,9152.72867621,9152.67260026
2019-06-17,8946.91116797,9352.63658959,8946.91116797,9243.99078827,694079.88944018,9178.16061479,9182.30182871
2019-06-16,8851.12221039,9289.99244203,8806.65312242,8940.74738796,826506.33506704,9055.06805437,9052.10322042
2019-06-15,8684.94029151,8868.25569611,8618.64069462,8830.86857013,588083.57053211,8713.14663313,8715.5374041
2019-06-14,8242.03388979,8714.84535395,8182.68312818,8676.42053108,674984.62385966,8378.75539371,8375.3843024
2019-06-13,8160.47685462,8335.25651793,8075.23731399,8256.73505984,611999.58199752,8171.64475188,8172.62161549
2019-06-12,7957.69131865,8207.05956752,7881.97058816,8151.51996425,651546.90024966,8058.13755907,8054.2900712
2019-06-11,8032.1528497,8066.32977929,7793.61980277,7949.78724531,563135.50519848,7938.76186069,7936.97268621
2019-06-10,7826.28287148,8079.48695361,7688.9211699,8058.6995245,623050.30964699,7917.19565293,7912.73158138
2019-06-09,8062.85792732,8084.83981173,7724.44710704,7791.66041283,571291.16680448,7941.10743466,7942.70052464
2019-06-08,8085.28368094,8129.54769414,7924.38851385,8037.91736586,548183.7170057,8041.16743346,8039.28484888
2019-06-07,7958.60044242,8184.67034142,7881.5121033,8101.86921294,683641.89054059,8035.84387346,8035.3964044
2019-06-06,7975.24050312,8053.52374741,7716.13989602,7971.46109776,689674.13062886,7921.79762899,7920.60937397
2019-06-05,7813.56894991,8050.87240893,7760.3989784,7966.5921751,775526.40859733,7927.20936808,7927.92729702
2019-06-04,8234.98216343,8234.98216343,7654.53475445,7791.34107755,963594.77968093,7992.21452848,7997.9761506
2019-06-03,8786.88148115,8786.88148115,8264.88612097,8278.71498005,792664.68374614,8595.72905816,8599.25542242
2019-06-02,8608.43784175,8874.78383762,8608.43784175,8790.58801338,618312.6743244,8722.9767299,8721.81998729
